iteration,all_current_acceptance_ratios
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,85.71428571428571
8,75.0
9,66.66666666666667
10,60.0
11,54.54545454545455
12,50.0
13,46.15384615384615
14,42.857142857142854
15,40.0
16,43.75
17,41.1764705882353
18,38.888888888888886
19,42.10526315789474
20,40.0
21,42.857142857142854
22,40.90909090909091
23,39.130434782608695
24,37.5
25,36.0
26,34.61538461538461
27,33.333333333333336
28,32.142857142857146
29,31.03448275862069
30,33.333333333333336
31,35.483870967741936
32,37.5
33,39.39393939393939
34,38.23529411764706
35,37.142857142857146
36,36.111111111111114
37,37.83783783783784
38,36.8421052631579
39,38.46153846153846
40,37.5
41,36.58536585365854
42,35.714285714285715
43,34.883720930232556
44,36.36363636363637
45,37.77777777777778
46,36.95652173913044
47,36.170212765957444
48,35.416666666666664
49,36.734693877551024
50,38.0
51,37.254901960784316
52,38.46153846153846
53,39.62264150943396
54,38.888888888888886
55,40.0
56,41.07142857142857
57,40.35087719298246
58,39.6551724137931
59,38.983050847457626
60,38.333333333333336
61,37.704918032786885
62,37.096774193548384
63,36.507936507936506
64,35.9375
65,35.38461538461539
66,36.36363636363637
67,37.3134328358209
68,36.76470588235294
69,36.231884057971016
70,37.142857142857146
71,38.028169014084504
72,38.888888888888886
73,38.35616438356164
74,37.83783783783784
75,37.333333333333336
76,36.8421052631579
77,36.36363636363637
78,35.8974358974359
79,35.44303797468354
80,35.0
81,35.80246913580247
82,36.58536585365854
83,36.144578313253014
84,35.714285714285715
85,35.294117647058826
86,34.883720930232556
87,34.48275862068966
88,34.09090909090909
89,33.70786516853933
90,33.333333333333336
91,34.065934065934066
92,34.78260869565217
93,35.483870967741936
94,35.1063829787234
95,34.73684210526316
96,34.375
97,34.02061855670103
98,33.673469387755105
99,33.333333333333336
100,33.0
101,32.67326732673267
102,32.35294117647059
103,32.03883495145631
104,31.73076923076923
105,31.428571428571427
106,31.132075471698112
107,30.8411214953271
108,31.48148148148148
109,31.192660550458715
110,30.90909090909091
111,30.63063063063063
112,30.357142857142858
113,30.97345132743363
114,31.57894736842105
115,31.304347826086957
116,31.03448275862069
117,30.76923076923077
118,30.508474576271187
119,30.252100840336134
120,30.0
121,30.578512396694215
122,31.147540983606557
123,30.89430894308943
124,30.64516129032258
125,30.4
126,30.952380952380953
127,31.496062992125985
128,32.03125
129,31.782945736434108
130,32.30769230769231
131,32.82442748091603
132,32.57575757575758
133,32.330827067669176
134,32.83582089552239
135,32.592592592592595
136,32.35294117647059
137,32.846715328467155
138,32.608695652173914
139,32.37410071942446
140,32.142857142857146
141,31.914893617021278
142,31.690140845070424
143,31.46853146853147
144,31.25
145,31.03448275862069
146,30.82191780821918
147,30.612244897959183
148,30.405405405405407
149,30.201342281879196
150,30.0
151,29.801324503311257
152,29.605263157894736
153,29.41176470588235
154,29.22077922077922
155,29.677419354838708
156,30.128205128205128
