iteration,all_current_acceptance_ratios
1,100.0
2,100.0
3,100.0
4,75.0
5,60.0
6,50.0
7,42.857142857142854
8,37.5
9,33.333333333333336
10,40.0
11,45.45454545454545
12,41.666666666666664
13,38.46153846153846
14,35.714285714285715
15,33.333333333333336
16,31.25
17,29.41176470588235
18,27.77777777777778
19,26.31578947368421
20,25.0
21,23.80952380952381
22,22.727272727272727
23,21.73913043478261
24,20.833333333333332
25,24.0
26,26.923076923076923
27,25.925925925925927
28,25.0
29,24.137931034482758
30,23.333333333333332
31,22.580645161290324
32,21.875
33,24.242424242424242
34,26.470588235294116
35,28.571428571428573
36,27.77777777777778
37,27.027027027027028
38,26.31578947368421
39,25.641025641025642
40,25.0
41,24.390243902439025
42,23.80952380952381
43,23.25581395348837
44,22.727272727272727
45,22.22222222222222
46,21.73913043478261
47,21.27659574468085
48,20.833333333333332
49,20.408163265306122
50,20.0
51,19.607843137254903
52,19.23076923076923
53,18.867924528301888
54,18.51851851851852
55,18.181818181818183
56,17.857142857142858
57,17.54385964912281
58,17.24137931034483
59,16.949152542372882
60,16.666666666666668
61,16.39344262295082
62,16.129032258064516
63,15.873015873015873
64,15.625
65,15.384615384615385
66,15.151515151515152
67,14.925373134328359
68,14.705882352941176
69,14.492753623188406
70,14.285714285714286
71,14.084507042253522
72,13.88888888888889
73,13.698630136986301
74,13.513513513513514
75,13.333333333333334
76,13.157894736842104
77,12.987012987012987
78,12.820512820512821
79,12.658227848101266
80,12.5
81,12.345679012345679
82,12.195121951219512
83,12.048192771084338
84,11.904761904761905
85,11.764705882352942
86,11.627906976744185
87,11.494252873563218
88,12.5
89,13.48314606741573
90,13.333333333333334
91,13.186813186813186
92,13.043478260869565
93,12.903225806451612
94,12.76595744680851
95,12.631578947368421
96,12.5
97,12.371134020618557
98,12.244897959183673
99,12.121212121212121
100,12.0
101,11.881188118811881
102,11.764705882352942
103,11.650485436893204
104,11.538461538461538
105,11.428571428571429
106,11.320754716981131
107,11.214953271028037
108,11.11111111111111
109,11.009174311926605
110,10.909090909090908
111,10.81081081081081
112,10.714285714285714
113,10.619469026548673
114,10.526315789473685
115,10.434782608695652
116,10.344827586206897
117,11.11111111111111
118,11.016949152542374
119,10.92436974789916
120,10.833333333333334
121,10.743801652892563
122,10.655737704918034
123,11.382113821138212
124,11.290322580645162
125,11.2
126,11.11111111111111
127,11.023622047244094
128,10.9375
129,10.852713178294573
130,10.76923076923077
131,10.687022900763358
132,10.606060606060606
133,10.526315789473685
134,10.447761194029852
135,10.37037037037037
136,10.294117647058824
137,10.218978102189782
138,10.144927536231885
139,10.071942446043165
140,10.714285714285714
141,10.638297872340425
142,10.56338028169014
143,10.48951048951049
144,10.416666666666666
145,10.344827586206897
146,10.273972602739725
147,10.204081632653061
148,10.135135135135135
149,10.06711409395973
150,10.0
151,10.596026490066226
152,10.526315789473685
153,10.457516339869281
154,10.38961038961039
155,10.32258064516129
