iteration,all_current_acceptance_ratios
1,100.0
2,100.0
3,100.0
4,75.0
5,80.0
6,83.33333333333333
7,71.42857142857143
8,62.5
9,55.55555555555556
10,50.0
11,45.45454545454545
12,41.666666666666664
13,46.15384615384615
14,50.0
15,46.666666666666664
16,50.0
17,52.94117647058823
18,50.0
19,47.36842105263158
20,50.0
21,52.38095238095238
22,54.54545454545455
23,52.17391304347826
24,50.0
25,48.0
26,46.15384615384615
27,48.148148148148145
28,50.0
29,48.275862068965516
30,50.0
31,48.38709677419355
32,46.875
33,48.484848484848484
34,47.05882352941177
35,48.57142857142857
36,50.0
37,51.351351351351354
38,52.63157894736842
39,51.282051282051285
40,50.0
41,51.21951219512195
42,50.0
43,51.16279069767442
44,52.27272727272727
45,51.111111111111114
46,50.0
47,51.06382978723404
48,52.083333333333336
49,53.06122448979592
50,52.0
51,50.98039215686274
52,51.92307692307692
53,52.83018867924528
54,53.7037037037037
55,54.54545454545455
56,53.57142857142857
57,54.3859649122807
58,53.44827586206897
59,54.23728813559322
60,55.0
61,55.73770491803279
62,56.45161290322581
63,57.142857142857146
64,57.8125
65,56.92307692307692
66,57.57575757575758
67,58.208955223880594
68,57.35294117647059
69,56.52173913043478
70,57.142857142857146
71,56.33802816901409
72,55.55555555555556
73,56.16438356164384
74,56.75675675675676
75,57.333333333333336
76,57.89473684210526
77,58.44155844155844
78,58.97435897435897
79,59.49367088607595
80,58.75
81,59.25925925925926
82,59.75609756097561
83,59.036144578313255
84,58.333333333333336
85,57.64705882352941
86,56.97674418604651
87,57.47126436781609
88,56.81818181818182
89,57.30337078651685
90,56.666666666666664
91,57.142857142857146
92,57.608695652173914
93,56.98924731182796
94,57.4468085106383
95,56.8421052631579
96,56.25
97,56.70103092783505
98,56.12244897959184
99,55.55555555555556
100,56.0
101,56.43564356435643
102,55.88235294117647
103,55.33980582524272
104,54.80769230769231
105,55.23809523809524
106,55.660377358490564
107,55.14018691588785
108,54.629629629629626
109,55.04587155963303
110,54.54545454545455
111,54.95495495495496
112,54.464285714285715
113,53.982300884955755
114,53.50877192982456
115,53.04347826086956
116,52.58620689655172
117,52.136752136752136
118,51.69491525423729
119,52.10084033613445
120,52.5
121,52.06611570247934
122,51.63934426229508
123,52.03252032520325
124,52.41935483870968
125,52.0
126,52.38095238095238
127,51.968503937007874
128,51.5625
129,51.93798449612403
130,52.30769230769231
131,51.908396946564885
132,51.515151515151516
133,51.12781954887218
134,51.492537313432834
135,51.111111111111114
136,51.470588235294116
137,51.09489051094891
138,51.44927536231884
139,51.798561151079134
140,52.142857142857146
141,51.773049645390074
142,51.40845070422535
143,51.04895104895105
144,51.388888888888886
145,51.724137931034484
146,52.054794520547944
147,52.38095238095238
148,52.027027027027025
149,51.67785234899329
150,52.0
151,51.65562913907285
152,51.973684210526315
153,52.287581699346404
154,51.94805194805195
155,52.25806451612903
156,51.92307692307692
157,51.59235668789809
