iteration,all_current_acceptance_ratios
1,100.0
2,50.0
3,33.333333333333336
4,50.0
5,40.0
6,33.333333333333336
7,28.571428571428573
8,25.0
9,22.22222222222222
10,30.0
11,36.36363636363637
12,33.333333333333336
13,30.76923076923077
14,28.571428571428573
15,26.666666666666668
16,25.0
17,23.529411764705884
18,22.22222222222222
19,21.05263157894737
20,25.0
21,23.80952380952381
22,22.727272727272727
23,21.73913043478261
24,20.833333333333332
25,20.0
26,19.23076923076923
27,18.51851851851852
28,17.857142857142858
29,20.689655172413794
30,20.0
31,19.35483870967742
32,18.75
33,18.181818181818183
34,17.647058823529413
35,17.142857142857142
36,16.666666666666668
37,16.216216216216218
38,15.789473684210526
39,15.384615384615385
40,15.0
41,14.634146341463415
42,14.285714285714286
43,13.953488372093023
44,13.636363636363637
45,13.333333333333334
46,13.043478260869565
47,12.76595744680851
48,12.5
49,12.244897959183673
50,12.0
51,11.764705882352942
52,11.538461538461538
53,13.20754716981132
54,12.962962962962964
55,12.727272727272727
56,12.5
57,12.280701754385966
58,12.068965517241379
59,11.864406779661017
60,11.666666666666666
61,11.475409836065573
62,11.290322580645162
63,11.11111111111111
64,10.9375
65,10.76923076923077
66,10.606060606060606
67,10.447761194029852
68,10.294117647058824
69,10.144927536231885
70,10.0
71,9.859154929577464
72,11.11111111111111
73,10.95890410958904
74,10.81081081081081
75,10.666666666666666
76,10.526315789473685
77,10.38961038961039
78,10.256410256410257
79,10.126582278481013
80,10.0
81,9.876543209876543
82,9.75609756097561
83,9.63855421686747
84,9.523809523809524
85,9.411764705882353
86,9.30232558139535
87,9.195402298850574
88,9.090909090909092
89,8.98876404494382
90,8.88888888888889
91,8.791208791208792
92,8.695652173913043
93,8.602150537634408
94,8.51063829787234
95,8.421052631578947
96,8.333333333333334
97,8.24742268041237
98,8.16326530612245
99,8.080808080808081
100,8.0
101,7.920792079207921
102,7.8431372549019605
103,7.766990291262136
104,7.6923076923076925
105,7.619047619047619
106,7.547169811320755
107,7.4766355140186915
108,7.407407407407407
109,7.339449541284404
110,7.2727272727272725
111,7.207207207207207
112,7.142857142857143
113,7.079646017699115
114,7.017543859649122
115,6.956521739130435
116,7.758620689655173
117,8.547008547008547
118,8.474576271186441
119,8.403361344537815
120,8.333333333333334
121,9.090909090909092
122,9.01639344262295
123,8.94308943089431
124,8.870967741935484
125,8.8
126,8.73015873015873
127,8.661417322834646
128,8.59375
129,9.30232558139535
130,9.23076923076923
131,9.16030534351145
132,9.090909090909092
133,9.022556390977444
134,8.955223880597014
135,8.88888888888889
136,8.823529411764707
137,8.75912408759124
138,9.420289855072463
139,9.352517985611511
140,9.285714285714286
141,9.21985815602837
