iteration 330 done, current best likelihood: -1822.3932421019822, current acceptance ratio is 4.24 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 340 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 4.41 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 350 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 4.29 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 360 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 4.17 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 370 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 4.05 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 380 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.95 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 390 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.85 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 400 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.75 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 410 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.66 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 420 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.57 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 430 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.49 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 440 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.41 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 450 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.33 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 460 done, current best likelihood: -1815.8948772982258, current acceptance ratio is 3.26 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 470 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.40 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 480 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.33 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 490 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.27 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 500 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.20 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 510 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.14 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 520 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.08 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 530 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 3.02 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 540 done, current best likelihood: -1808.0498540325823, current acceptance ratio is 2.96 %, current best order is {'MMSE': 3, 'ADAS': 5, 'AB': 2, 'P-Tau': 4, 'HIP-FCI': 1}
iteration 550 done, current best likelihood: -1802.675682064429, current acceptance ratio is 3.09 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 560 done, current best likelihood: -1802.675682064429, current acceptance ratio is 3.04 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 570 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.98 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 580 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.93 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 590 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.88 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 600 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.83 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 610 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.79 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 620 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.74 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 630 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.70 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 640 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.66 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
iteration 650 done, current best likelihood: -1802.675682064429, current acceptance ratio is 2.62 %, current best order is {'MMSE': 4, 'ADAS': 5, 'AB': 2, 'P-Tau': 3, 'HIP-FCI': 1}
