iteration,all_current_acceptance_ratios
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,83.33333333333333
7,85.71428571428571
8,87.5
9,77.77777777777777
10,80.0
11,81.81818181818181
12,83.33333333333333
13,76.92307692307692
14,78.57142857142857
15,80.0
16,75.0
17,70.58823529411765
18,72.22222222222223
19,73.6842105263158
20,75.0
21,71.42857142857143
22,68.18181818181819
23,65.21739130434783
24,62.5
25,60.0
26,57.69230769230769
27,59.25925925925926
28,60.714285714285715
29,62.06896551724138
30,60.0
31,61.29032258064516
32,59.375
33,60.60606060606061
34,58.8235294117647
35,60.0
36,61.111111111111114
37,59.45945945945946
38,60.526315789473685
39,58.97435897435897
40,57.5
41,58.53658536585366
42,57.142857142857146
43,58.13953488372093
44,56.81818181818182
45,57.77777777777778
46,58.69565217391305
47,57.4468085106383
48,58.333333333333336
49,59.183673469387756
50,58.0
51,56.86274509803921
52,55.76923076923077
53,54.716981132075475
54,55.55555555555556
55,54.54545454545455
56,55.357142857142854
57,56.14035087719298
58,55.172413793103445
59,55.932203389830505
60,55.0
61,54.09836065573771
62,53.225806451612904
63,53.96825396825397
64,53.125
65,53.84615384615385
66,53.03030303030303
67,52.23880597014925
68,52.94117647058823
69,52.17391304347826
70,51.42857142857143
71,50.70422535211268
72,50.0
73,50.68493150684932
74,50.0
75,50.666666666666664
76,50.0
77,49.35064935064935
78,50.0
79,49.36708860759494
80,50.0
81,49.382716049382715
82,50.0
83,49.397590361445786
84,48.80952380952381
85,49.411764705882355
86,48.83720930232558
87,48.275862068965516
88,48.86363636363637
89,49.438202247191015
90,50.0
91,50.54945054945055
92,50.0
93,50.53763440860215
94,50.0
95,50.526315789473685
96,51.041666666666664
97,51.54639175257732
98,52.04081632653061
99,52.525252525252526
100,53.0
