iteration,all_current_acceptance_ratios
1,100.0
2,50.0
3,66.66666666666667
4,75.0
5,60.0
6,66.66666666666667
7,57.142857142857146
8,50.0
9,55.55555555555556
10,50.0
11,54.54545454545455
12,50.0
13,53.84615384615385
14,50.0
15,53.333333333333336
16,56.25
17,58.8235294117647
18,61.111111111111114
19,63.1578947368421
20,65.0
21,66.66666666666667
22,68.18181818181819
23,65.21739130434783
24,66.66666666666667
25,64.0
26,61.53846153846154
27,62.96296296296296
28,64.28571428571429
29,65.51724137931035
30,66.66666666666667
31,67.74193548387096
32,68.75
33,69.6969696969697
34,67.6470588235294
35,68.57142857142857
36,69.44444444444444
37,70.27027027027027
38,68.42105263157895
39,66.66666666666667
40,67.5
41,65.85365853658537
42,64.28571428571429
43,65.11627906976744
44,65.9090909090909
45,64.44444444444444
46,65.21739130434783
47,65.95744680851064
48,66.66666666666667
49,65.3061224489796
50,66.0
51,64.70588235294117
52,65.38461538461539
53,64.15094339622641
54,62.96296296296296
55,61.81818181818182
56,62.5
57,61.40350877192982
58,62.06896551724138
59,62.71186440677966
60,63.333333333333336
61,62.295081967213115
62,62.903225806451616
63,63.492063492063494
64,64.0625
65,64.61538461538461
66,65.15151515151516
67,65.67164179104478
68,64.70588235294117
69,63.768115942028984
70,62.857142857142854
71,63.38028169014085
72,62.5
73,63.013698630136986
74,63.513513513513516
75,62.666666666666664
76,61.8421052631579
77,62.33766233766234
78,61.53846153846154
79,62.0253164556962
80,61.25
81,61.72839506172839
82,60.97560975609756
83,60.24096385542169
84,60.714285714285715
85,61.1764705882353
86,60.46511627906977
87,60.91954022988506
88,61.36363636363637
89,61.79775280898876
90,62.22222222222222
91,61.53846153846154
92,61.95652173913044
93,62.365591397849464
94,61.702127659574465
95,62.10526315789474
96,61.458333333333336
97,61.855670103092784
98,62.244897959183675
99,62.62626262626262
100,63.0
101,63.366336633663366
102,63.72549019607843
103,64.07766990291262
104,64.42307692307692
105,64.76190476190476
106,64.15094339622641
107,64.48598130841121
108,64.81481481481481
109,65.13761467889908
110,65.45454545454545
111,65.76576576576576
112,65.17857142857143
113,65.48672566371681
114,64.91228070175438
115,64.34782608695652
116,64.65517241379311
117,64.1025641025641
118,64.40677966101696
119,64.70588235294117
120,65.0
121,65.2892561983471
122,64.75409836065573
123,64.22764227642277
124,64.51612903225806
125,64.0
126,63.492063492063494
127,62.99212598425197
128,62.5
129,62.01550387596899
130,61.53846153846154
131,61.83206106870229
132,61.36363636363637
133,61.65413533834587
134,61.940298507462686
135,61.48148148148148
136,61.029411764705884
137,60.583941605839414
138,60.869565217391305
139,61.15107913669065
140,61.42857142857143
141,60.99290780141844
142,60.563380281690144
