iteration,all_current_accepted_likelihoods
1,-1174.2787569606712
2,-849.9747847412684
3,-841.835695456876
4,-841.835695456876
5,-841.835695456876
6,-841.835695456876
7,-841.835695456876
8,-841.835695456876
9,-841.835695456876
10,-841.835695456876
11,-841.835695456876
12,-841.835695456876
13,-841.835695456876
14,-841.835695456876
15,-841.835695456876
16,-841.835695456876
17,-813.2087714835754
18,-806.2528664943474
19,-805.92945944961
20,-805.92945944961
21,-805.92945944961
22,-805.92945944961
23,-796.1285254728695
24,-796.1285254728695
25,-796.3130664764213
26,-793.1762783922143
27,-793.1762783922143
28,-793.1762783922143
29,-793.1762783922143
30,-793.1762783922143
31,-793.1762783922143
32,-793.1762783922143
33,-793.1762783922143
34,-793.1762783922143
35,-793.1762783922143
36,-793.1762783922143
37,-793.1762783922143
38,-793.1762783922143
39,-793.1762783922143
40,-793.1762783922143
41,-793.1762783922143
42,-793.1762783922143
43,-793.1762783922143
44,-793.1762783922143
45,-793.1762783922143
46,-793.1762783922143
47,-793.1762783922143
48,-793.1762783922143
49,-793.1762783922143
50,-793.1762783922143
51,-793.1762783922143
52,-793.1762783922143
53,-793.1762783922143
54,-793.1762783922143
55,-793.1762783922143
56,-793.1762783922143
57,-793.1762783922143
58,-793.1762783922143
59,-793.1762783922143
60,-793.1762783922143
61,-793.1762783922143
62,-793.1762783922143
63,-793.1762783922143
64,-793.1762783922143
65,-793.1762783922143
66,-793.1762783922143
67,-793.1762783922143
68,-793.1762783922143
69,-793.1762783922143
70,-793.1762783922143
71,-793.1762783922143
72,-793.1762783922143
73,-793.1762783922143
74,-793.1762783922143
75,-793.1762783922143
76,-793.1762783922143
77,-793.1762783922143
78,-793.1762783922143
79,-793.1762783922143
80,-793.1762783922143
81,-793.1762783922143
82,-793.1762783922143
83,-793.1762783922143
84,-793.1762783922143
85,-793.1762783922143
86,-793.1762783922143
87,-793.1762783922143
88,-793.1762783922143
89,-793.1762783922143
90,-793.1762783922143
91,-793.1762783922143
92,-793.1762783922143
93,-793.1762783922143
94,-793.1762783922143
95,-793.1762783922143
96,-793.1762783922143
97,-793.1762783922143
98,-793.1762783922143
99,-793.1762783922143
100,-793.1762783922143
101,-793.1762783922143
102,-793.1762783922143
103,-793.1762783922143
104,-793.1762783922143
105,-793.1762783922143
106,-793.1762783922143
107,-793.1762783922143
108,-793.1762783922143
109,-793.1762783922143
110,-793.1762783922143
111,-793.1762783922143
112,-793.1762783922143
113,-793.1762783922143
114,-793.1762783922143
115,-793.1762783922143
116,-793.1762783922143
117,-793.1762783922143
118,-793.1762783922143
119,-793.1762783922143
120,-793.1762783922143
121,-793.1762783922143
122,-793.1762783922143
123,-793.1762783922143
124,-793.1762783922143
125,-793.1762783922143
126,-793.1762783922143
127,-793.1762783922143
128,-793.1762783922143
129,-793.1762783922143
130,-793.1762783922143
131,-793.1762783922143
132,-793.1762783922143
133,-793.1762783922143
134,-793.1762783922143
135,-793.1762783922143
136,-793.1762783922143
137,-793.1762783922143
138,-793.1762783922143
139,-793.1762783922143
140,-793.1762783922143
141,-793.1762783922143
142,-793.1762783922143
143,-793.1762783922143
144,-793.1762783922143
145,-793.1762783922143
146,-793.1762783922143
147,-793.1762783922143
148,-793.1762783922143
149,-793.1762783922143
150,-793.1762783922143
151,-793.1762783922143
