iteration,all_current_acceptance_ratios
1,100.0
2,50.0
3,33.333333333333336
4,50.0
5,60.0
6,66.66666666666667
7,71.42857142857143
8,75.0
9,66.66666666666667
10,60.0
11,54.54545454545455
12,58.333333333333336
13,61.53846153846154
14,64.28571428571429
15,66.66666666666667
16,62.5
17,58.8235294117647
18,61.111111111111114
19,63.1578947368421
20,60.0
21,61.904761904761905
22,63.63636363636363
23,60.869565217391305
24,62.5
25,60.0
26,57.69230769230769
27,59.25925925925926
28,60.714285714285715
29,62.06896551724138
30,60.0
31,61.29032258064516
32,62.5
33,60.60606060606061
34,61.76470588235294
35,60.0
36,61.111111111111114
37,62.16216216216216
38,60.526315789473685
39,58.97435897435897
40,60.0
41,60.97560975609756
42,59.523809523809526
43,60.46511627906977
44,59.09090909090909
45,60.0
46,58.69565217391305
47,59.57446808510638
48,58.333333333333336
49,57.142857142857146
50,56.0
51,56.86274509803921
52,57.69230769230769
53,58.490566037735846
54,59.25925925925926
55,58.18181818181818
56,58.92857142857143
57,59.64912280701754
58,60.3448275862069
59,61.016949152542374
60,61.666666666666664
61,62.295081967213115
62,61.29032258064516
63,61.904761904761905
64,62.5
65,63.07692307692308
66,63.63636363636363
67,64.17910447761194
68,63.23529411764706
69,62.31884057971015
70,62.857142857142854
71,63.38028169014085
72,63.888888888888886
73,64.38356164383562
74,63.513513513513516
75,64.0
76,64.47368421052632
77,63.63636363636363
78,62.82051282051282
79,63.29113924050633
80,62.5
81,61.72839506172839
82,60.97560975609756
83,60.24096385542169
84,60.714285714285715
85,61.1764705882353
86,61.627906976744185
87,62.06896551724138
88,62.5
89,61.79775280898876
90,61.111111111111114
91,61.53846153846154
92,61.95652173913044
93,62.365591397849464
94,62.765957446808514
95,63.1578947368421
96,63.541666666666664
97,63.91752577319588
98,64.28571428571429
99,64.64646464646465
100,64.0
101,63.366336633663366
102,62.745098039215684
103,62.13592233009709
104,61.53846153846154
105,61.904761904761905
106,61.320754716981135
107,60.74766355140187
108,61.111111111111114
109,61.46788990825688
110,61.81818181818182
111,61.26126126126126
112,61.607142857142854
113,61.94690265486726
114,62.280701754385966
115,61.73913043478261
116,62.06896551724138
117,62.39316239316239
118,62.71186440677966
119,62.18487394957983
120,62.5
121,62.8099173553719
122,63.114754098360656
123,63.41463414634146
124,62.903225806451616
125,62.4
126,61.904761904761905
127,62.20472440944882
128,61.71875
129,62.01550387596899
130,62.30769230769231
131,62.595419847328245
132,62.878787878787875
133,63.1578947368421
134,62.6865671641791
135,62.22222222222222
136,61.76470588235294
137,62.043795620437955
138,62.31884057971015
139,61.8705035971223
140,62.142857142857146
141,62.4113475177305
142,62.67605633802817
