iteration,all_current_acceptance_ratios
1,100.0
2,100.0
3,66.66666666666667
4,50.0
5,60.0
6,50.0
7,42.857142857142854
8,37.5
9,33.333333333333336
10,30.0
11,27.272727272727273
12,25.0
13,23.076923076923077
14,21.428571428571427
15,20.0
16,18.75
17,17.647058823529413
18,16.666666666666668
19,15.789473684210526
20,15.0
21,14.285714285714286
22,13.636363636363637
23,13.043478260869565
24,16.666666666666668
25,16.0
26,15.384615384615385
27,14.814814814814815
28,14.285714285714286
29,13.793103448275861
30,13.333333333333334
31,12.903225806451612
32,12.5
33,12.121212121212121
34,11.764705882352942
35,14.285714285714286
36,13.88888888888889
37,16.216216216216218
38,15.789473684210526
39,15.384615384615385
40,15.0
41,14.634146341463415
42,14.285714285714286
43,16.27906976744186
44,15.909090909090908
45,15.555555555555555
46,15.217391304347826
47,14.893617021276595
48,14.583333333333334
49,14.285714285714286
50,14.0
51,15.686274509803921
52,15.384615384615385
53,15.09433962264151
54,14.814814814814815
55,14.545454545454545
56,14.285714285714286
57,14.035087719298245
58,13.793103448275861
59,15.254237288135593
60,15.0
61,14.754098360655737
62,14.516129032258064
63,14.285714285714286
64,14.0625
65,13.846153846153847
66,13.636363636363637
67,13.432835820895523
68,13.235294117647058
69,13.043478260869565
70,12.857142857142858
71,12.67605633802817
72,12.5
73,12.32876712328767
74,12.162162162162161
75,12.0
76,11.842105263157896
77,11.688311688311689
78,11.538461538461538
79,11.39240506329114
80,11.25
81,11.11111111111111
82,10.975609756097562
83,10.843373493975903
84,10.714285714285714
85,10.588235294117647
86,10.465116279069768
87,10.344827586206897
88,10.227272727272727
89,10.112359550561798
90,10.0
91,9.89010989010989
92,9.782608695652174
93,9.67741935483871
94,9.574468085106384
95,9.473684210526315
96,9.375
97,9.278350515463918
98,10.204081632653061
99,10.1010101010101
100,10.0
101,9.900990099009901
102,9.803921568627452
103,9.70873786407767
104,9.615384615384615
105,10.476190476190476
106,10.377358490566039
107,10.280373831775702
108,10.185185185185185
109,10.091743119266056
110,10.0
111,10.81081081081081
112,10.714285714285714
113,10.619469026548673
114,10.526315789473685
115,10.434782608695652
116,10.344827586206897
117,10.256410256410257
118,10.169491525423728
119,10.084033613445378
120,10.0
121,9.917355371900827
122,9.836065573770492
123,9.75609756097561
124,9.67741935483871
125,9.6
126,9.523809523809524
127,9.448818897637794
128,9.375
129,9.30232558139535
130,9.23076923076923
131,9.923664122137405
132,9.848484848484848
133,9.774436090225564
134,9.701492537313433
135,9.62962962962963
136,9.558823529411764
137,9.489051094890511
138,9.420289855072463
139,9.352517985611511
140,9.285714285714286
141,9.929078014184396
142,9.859154929577464
143,9.79020979020979
144,9.722222222222221
145,9.655172413793103
146,9.58904109589041
147,10.204081632653061
148,10.135135135135135
149,10.06711409395973
150,10.0
151,9.933774834437086
152,9.868421052631579
153,9.803921568627452
154,9.74025974025974
155,9.67741935483871
156,9.615384615384615
157,9.554140127388536
