iteration,all_current_acceptance_ratios
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,85.71428571428571
8,75.0
9,66.66666666666667
10,60.0
11,54.54545454545455
12,58.333333333333336
13,53.84615384615385
14,57.142857142857146
15,60.0
16,62.5
17,64.70588235294117
18,66.66666666666667
19,68.42105263157895
20,70.0
21,71.42857142857143
22,72.72727272727273
23,69.56521739130434
24,66.66666666666667
25,64.0
26,61.53846153846154
27,59.25925925925926
28,57.142857142857146
29,55.172413793103445
30,53.333333333333336
31,51.61290322580645
32,50.0
33,48.484848484848484
34,47.05882352941177
35,48.57142857142857
36,47.22222222222222
37,45.945945945945944
38,44.73684210526316
39,43.58974358974359
40,42.5
41,41.46341463414634
42,40.476190476190474
43,41.86046511627907
44,43.18181818181818
45,44.44444444444444
46,45.65217391304348
47,46.808510638297875
48,47.916666666666664
49,46.93877551020408
50,48.0
51,49.01960784313726
52,50.0
53,50.943396226415096
54,51.851851851851855
55,50.90909090909091
56,50.0
57,49.12280701754386
58,48.275862068965516
59,47.45762711864407
60,46.666666666666664
61,45.90163934426229
62,45.16129032258065
63,44.44444444444444
64,43.75
65,43.07692307692308
66,42.42424242424242
67,41.791044776119406
68,41.1764705882353
69,40.57971014492754
70,40.0
71,39.436619718309856
72,38.888888888888886
73,38.35616438356164
74,37.83783783783784
75,37.333333333333336
76,36.8421052631579
77,36.36363636363637
78,35.8974358974359
79,35.44303797468354
80,35.0
81,34.5679012345679
82,34.146341463414636
83,33.734939759036145
84,33.333333333333336
85,34.11764705882353
86,33.72093023255814
87,33.333333333333336
88,32.95454545454545
89,32.58426966292135
90,32.22222222222222
91,31.86813186813187
92,31.52173913043478
93,31.182795698924732
94,30.851063829787233
95,30.526315789473685
96,30.208333333333332
97,29.896907216494846
98,29.591836734693878
99,29.292929292929294
100,29.0
101,28.712871287128714
102,28.431372549019606
103,28.155339805825243
104,27.884615384615383
105,27.61904761904762
106,27.358490566037737
107,27.102803738317757
108,26.85185185185185
109,26.605504587155963
110,26.363636363636363
111,26.126126126126128
112,25.892857142857142
113,25.663716814159294
114,25.43859649122807
115,25.217391304347824
116,25.0
117,24.786324786324787
118,24.576271186440678
119,24.369747899159663
120,24.166666666666668
121,23.96694214876033
122,23.770491803278688
123,23.577235772357724
124,23.387096774193548
125,23.2
126,23.015873015873016
127,22.834645669291337
128,22.65625
129,22.48062015503876
130,22.307692307692307
131,22.137404580152673
132,21.96969696969697
133,21.804511278195488
134,21.64179104477612
135,21.48148148148148
136,21.323529411764707
137,21.16788321167883
138,21.014492753623188
139,20.863309352517987
140,20.714285714285715
141,20.56737588652482
142,20.422535211267604
143,20.27972027972028
144,20.13888888888889
145,20.0
146,19.863013698630137
147,19.727891156462587
148,19.594594594594593
149,19.463087248322147
150,19.333333333333332
151,19.867549668874172
152,20.394736842105264
153,20.915032679738562
154,21.428571428571427
155,21.93548387096774
156,22.435897435897434
