iteration,participant_stages_at_the_start_of_this_round,should_revert_to_max_likelihood_order,new_order_to_test,all_participant_ln_likelihood,max_likelihood_up_until_now,all_participant_ln_likelihood_is_larger,accepted_order,accepted_likelihood,participant_stages_at_the_end_of_iteration,acceptance_ratio,actualy_reverted
11,"[0 0 0 4 4 4 0 2 3 5 0 0 2 3 2 0 4 0 0 2 2 0 4 0 4 2 1 1 4 5 0 4 1 3 2 4 0
 0 1 0 1 1 0 4 3 0 1 1 4 0 0 2 2 2 0 2 1 0 2 3 2 3 0 2 0 0 0 1 5 0 2 1 5 2
 2 2 5 1 5 3 2 0 1 0 2 3 4 0 3 5 0 5 4 0 0 3 4 2 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1925.5243423892155,-1922.2335465891945,False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1922.2335465891945,"[0 0 0 3 1 5 0 4 1 4 0 0 2 3 1 0 1 0 0 5 2 0 3 0 3 3 4 4 1 5 0 1 4 4 4 2 0
 0 1 0 4 1 0 4 3 0 4 5 4 0 0 3 5 3 0 2 4 0 4 3 1 2 0 2 0 0 0 1 5 0 3 4 5 2
 1 3 1 4 5 3 4 0 1 0 4 2 2 0 1 5 0 3 2 0 0 1 5 5 0 0]",54.54545454545455,
12,"[0 0 0 3 1 5 0 4 1 4 0 0 2 3 1 0 1 0 0 5 2 0 3 0 3 3 4 4 1 5 0 1 4 4 4 2 0
 0 1 0 4 1 0 4 3 0 4 5 4 0 0 3 5 3 0 2 4 0 4 3 1 2 0 2 0 0 0 1 5 0 3 4 5 2
 1 3 1 4 5 3 4 0 1 0 4 2 2 0 1 5 0 3 2 0 0 1 5 5 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1921.7126655310235,-1921.7126655310235,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1921.7126655310235,"[0 0 0 4 1 4 0 1 2 4 0 0 3 2 4 0 1 0 0 4 3 0 1 0 3 5 1 3 4 5 0 3 4 3 4 5 0
 0 2 0 4 1 0 5 2 0 3 5 4 0 0 2 5 4 0 2 5 0 2 3 1 1 0 3 0 0 0 2 4 0 4 4 4 1
 3 3 4 5 5 1 4 0 1 0 4 3 3 0 3 4 0 2 4 0 0 2 5 1 0 0]",58.333333333333336,
13,"[0 0 0 4 1 4 0 1 2 4 0 0 3 2 4 0 1 0 0 4 3 0 1 0 3 5 1 3 4 5 0 3 4 3 4 5 0
 0 2 0 4 1 0 5 2 0 3 5 4 0 0 2 5 4 0 2 5 0 2 3 1 1 0 3 0 0 0 2 4 0 4 4 4 1
 3 3 4 5 5 1 4 0 1 0 4 3 3 0 3 4 0 2 4 0 0 2 5 1 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 4, 'FUS-GMI': 2}",-1932.1663797684664,-1921.7126655310235,False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1921.7126655310235,"[0 0 0 5 2 1 0 4 5 2 0 0 4 5 2 0 3 0 0 3 4 0 3 0 3 3 4 4 3 1 0 2 2 3 4 4 0
 0 2 0 1 3 0 1 4 0 2 1 4 0 0 5 4 3 0 5 5 0 3 2 1 1 0 1 0 0 0 1 5 0 5 2 1 3
 4 3 4 1 1 3 1 0 3 0 4 5 3 0 1 5 0 3 4 0 0 5 3 4 0 0]",53.84615384615385,
14,"[0 0 0 5 2 1 0 4 5 2 0 0 4 5 2 0 3 0 0 3 4 0 3 0 3 3 4 4 3 1 0 2 2 3 4 4 0
 0 2 0 1 3 0 1 4 0 2 1 4 0 0 5 4 3 0 5 5 0 3 2 1 1 0 1 0 0 0 1 5 0 5 2 1 3
 4 3 4 1 1 3 1 0 3 0 4 5 3 0 1 5 0 3 4 0 0 5 3 4 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1919.822612202706,-1919.822612202706,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1919.822612202706,"[0 0 0 1 3 3 0 1 2 2 0 0 3 5 1 0 4 0 0 3 5 0 4 0 5 3 4 4 3 2 0 5 1 4 4 3 0
 0 1 0 3 3 0 2 4 0 2 5 4 0 0 4 5 2 0 4 4 0 3 3 2 5 0 3 0 0 0 2 1 0 1 1 4 1
 4 3 3 5 5 3 2 0 4 0 3 4 3 0 3 3 0 3 2 0 0 1 5 5 0 0]",57.142857142857146,
15,"[0 0 0 1 3 3 0 1 2 2 0 0 3 5 1 0 4 0 0 3 5 0 4 0 5 3 4 4 3 2 0 5 1 4 4 3 0
 0 1 0 3 3 0 2 4 0 2 5 4 0 0 4 5 2 0 4 4 0 3 3 2 5 0 3 0 0 0 2 1 0 1 1 4 1
 4 3 3 5 5 3 2 0 4 0 3 4 3 0 3 3 0 3 2 0 0 1 5 5 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1909.076822155223,-1909.076822155223,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1909.076822155223,"[0 0 0 3 3 5 0 4 1 2 0 0 1 5 3 0 3 0 0 1 4 0 3 0 5 3 2 4 1 5 0 3 1 3 1 4 0
 0 1 0 2 1 0 1 5 0 1 1 1 0 0 5 2 1 0 5 1 0 2 3 5 5 0 3 0 0 0 2 4 0 1 1 2 2
 4 4 3 5 2 4 2 0 5 0 2 4 4 0 4 5 0 5 1 0 0 4 5 1 0 0]",60.0,
16,"[0 0 0 3 3 5 0 4 1 2 0 0 1 5 3 0 3 0 0 1 4 0 3 0 5 3 2 4 1 5 0 3 1 3 1 4 0
 0 1 0 2 1 0 1 5 0 1 1 1 0 0 5 2 1 0 5 1 0 2 3 5 5 0 3 0 0 0 2 4 0 1 1 2 2
 4 4 3 5 2 4 2 0 5 0 2 4 4 0 4 5 0 5 1 0 0 4 5 1 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1901.9800356125993,-1901.9800356125993,True,"{'HIP-FCI': 1, 'HIP-GMI': 5, 'FUS-FCI': 3, 'PCC-FCI': 2, 'FUS-GMI': 4}",-1901.9800356125993,"[0 0 0 3 2 3 0 3 4 3 0 0 5 5 1 0 1 0 0 3 4 0 2 0 5 3 3 3 2 3 0 3 1 2 2 2 0
 0 2 0 2 1 0 1 5 0 2 3 3 0 0 4 1 1 0 5 4 0 2 5 5 5 0 1 0 0 0 3 3 0 5 1 3 1
 5 5 3 1 3 2 2 0 4 0 3 5 1 0 5 1 0 3 1 0 0 5 5 5 0 0]",62.5,
17,"[0 0 0 3 2 3 0 3 4 3 0 0 5 5 1 0 1 0 0 3 4 0 2 0 5 3 3 3 2 3 0 3 1 2 2 2 0
 0 2 0 2 1 0 1 5 0 2 3 3 0 0 4 1 1 0 5 4 0 2 5 5 5 0 1 0 0 0 3 3 0 5 1 3 1
 5 5 3 1 3 2 2 0 4 0 3 5 1 0 5 1 0 3 1 0 0 5 5 5 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 2, 'FUS-FCI': 3, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1901.1516247258332,-1901.1516247258332,True,"{'HIP-FCI': 1, 'HIP-GMI': 2, 'FUS-FCI': 3, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1901.1516247258332,"[0 0 0 1 2 1 0 3 2 3 0 0 1 5 3 0 3 0 0 1 4 0 2 0 5 5 2 1 2 2 0 4 2 3 1 2 0
 0 2 0 2 5 0 5 5 0 1 2 1 0 0 5 2 2 0 5 1 0 1 4 4 1 0 3 0 0 0 1 3 0 2 3 2 4
 5 5 2 3 3 3 2 0 5 0 2 5 1 0 5 3 0 2 2 0 0 4 2 4 0 0]",64.70588235294117,
18,"[0 0 0 1 2 1 0 3 2 3 0 0 1 5 3 0 3 0 0 1 4 0 2 0 5 5 2 1 2 2 0 4 2 3 1 2 0
 0 2 0 2 5 0 5 5 0 1 2 1 0 0 5 2 2 0 5 1 0 1 4 4 1 0 3 0 0 0 1 3 0 2 3 2 4
 5 5 2 3 3 3 2 0 5 0 2 5 1 0 5 3 0 2 2 0 0 4 2 4 0 0]",False,"{'HIP-FCI': 1, 'HIP-GMI': 2, 'FUS-FCI': 3, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1899.594382225549,-1899.594382225549,True,"{'HIP-FCI': 1, 'HIP-GMI': 2, 'FUS-FCI': 3, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1899.594382225549,"[0 0 0 1 3 2 0 1 3 2 0 0 2 4 2 0 2 0 0 3 5 0 2 0 5 1 2 2 3 3 0 1 1 2 1 4 0
 0 1 0 1 1 0 5 4 0 5 3 1 0 0 5 2 3 0 4 3 0 3 5 4 4 0 5 0 0 0 1 2 0 3 1 1 2
 4 5 3 2 1 1 2 0 4 0 2 4 1 0 4 2 0 2 3 0 0 4 2 3 0 0]",66.66666666666667,
19,"[0 0 0 1 3 2 0 1 3 2 0 0 2 4 2 0 2 0 0 3 5 0 2 0 5 1 2 2 3 3 0 1 1 2 1 4 0
 0 1 0 1 1 0 5 4 0 5 3 1 0 0 5 2 3 0 4 3 0 3 5 4 4 0 5 0 0 0 1 2 0 3 1 1 2
 4 5 3 2 1 1 2 0 4 0 2 4 1 0 4 2 0 2 3 0 0 4 2 3 0 0]",False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1900.5701969068923,-1899.594382225549,False,"{'HIP-FCI': 3, 'HIP-GMI': 2, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1900.5701969068923,"[0 0 0 3 2 2 0 1 2 3 0 0 3 5 2 0 1 0 0 3 5 0 1 0 3 3 3 5 1 3 0 4 1 1 1 1 0
 0 1 0 1 1 0 2 5 0 3 3 1 0 0 4 2 1 0 4 2 0 1 5 4 4 0 1 0 0 0 3 3 0 3 1 2 2
 4 4 2 2 2 1 1 0 4 0 2 4 1 0 5 2 0 1 1 0 0 4 3 3 0 0]",68.42105263157895,
20,"[0 0 0 3 2 2 0 1 2 3 0 0 3 5 2 0 1 0 0 3 5 0 1 0 3 3 3 5 1 3 0 4 1 1 1 1 0
 0 1 0 1 1 0 2 5 0 3 3 1 0 0 4 2 1 0 4 2 0 1 5 4 4 0 1 0 0 0 3 3 0 3 1 2 2
 4 4 2 2 2 1 1 0 4 0 2 4 1 0 5 2 0 1 1 0 0 4 3 3 0 0]",True,"{'HIP-FCI': 2, 'HIP-GMI': 3, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1901.1067142285533,-1899.594382225549,False,"{'HIP-FCI': 2, 'HIP-GMI': 3, 'FUS-FCI': 1, 'PCC-FCI': 5, 'FUS-GMI': 4}",-1901.1067142285533,"[0 0 0 2 1 4 0 2 2 3 0 0 4 4 1 0 2 0 0 1 5 0 2 0 5 1 1 2 1 3 0 1 3 1 3 2 0
 0 2 0 1 2 0 3 4 0 3 4 1 0 0 4 3 3 0 4 1 0 2 5 5 5 0 2 0 0 0 2 3 0 1 2 2 2
 4 5 2 3 1 2 5 0 4 0 1 3 1 0 5 3 0 3 2 0 0 5 3 2 0 0]",70.0,
